customer_id,region,plan_type,contract_type,payment_method,tenure_months,monthly_charges_inr,avg_login_days_per_month,support_tickets_last_90_days,payment_delay_days,data_usage_gb,satisfaction_score,last_complaint_days_ago,discount_percent,autopay_enabled,referral_count,churn
CUST0025,East,Standard,One-year,Net Banking,20,748.35,16,2,6,85.19,5.8,55,10,1,2,0
CUST0026,Central,Basic,Month-to-month,UPI,15,440.98,19,3,1,60.26,8.7,62,15,0,0,0
CUST0027,North,Basic,One-year,Credit Card,23,443.57,19,1,9,37.24,6.8,159,0,1,2,0
CUST0028,Central,Basic,One-year,Credit Card,6,377.61,21,2,2,64.79,7.2,22,0,1,1,0
CUST0029,West,Standard,Month-to-month,Net Banking,32,812.9,20,0,6,67.33,7.1,4,0,0,1,0
CUST0030,North,Standard,Month-to-month,UPI,42,658.96,15,2,9,74.66,6.5,0,0,0,0,0
CUST0031,Central,Premium,Month-to-month,Credit Card,27,989.9,23,1,8,132.22,7.7,0,10,0,2,0
CUST0032,West,Standard,Two-year,UPI,48,779.46,25,1,1,125.4,10,12,15,0,0,0
CUST0033,South,Standard,Month-to-month,UPI,4,654.9,9,2,9,89.06,7.2,19,0,0,2,0
CUST0034,West,Premium,Two-year,Credit Card,21,1061.78,12,5,0,163.85,5.7,424,0,1,2,0
CUST0035,Central,Premium,Month-to-month,Net Banking,18,888.11,21,2,1,142.86,7.6,30,20,1,1,0
CUST0036,Central,Basic,Two-year,Wallet,25,454.22,14,0,0,69.29,8.6,66,0,1,0,0
CUST0037,South,Standard,Month-to-month,Wallet,40,551.48,23,1,6,76.57,9.7,104,0,1,1,0
CUST0038,West,Basic,One-year,Credit Card,22,437.13,17,2,1,44.18,7.4,1,0,1,0,0
CUST0039,West,Standard,Month-to-month,UPI,22,779.12,16,0,0,68.11,6.7,5,20,1,0,0
CUST0040,South,Enterprise,Month-to-month,Debit Card,8,1659.95,30,0,6,210.88,7.3,113,5,0,1,0
CUST0041,North,Basic,Month-to-month,UPI,36,369.3,13,1,3,30.6,6.2,70,10,1,0,0
CUST0042,East,Basic,Month-to-month,Wallet,36,351.7,30,0,2,72.99,6.2,17,0,1,0,0
CUST0043,West,Premium,Month-to-month,Credit Card,15,956.37,22,3,3,152.76,8.8,16,15,1,0,0
CUST0044,Central,Enterprise,One-year,UPI,13,1417.07,12,3,0,233.53,5.3,0,5,1,0,0
CUST0045,Central,Premium,Month-to-month,UPI,23,989.41,22,3,4,127.88,6.7,31,0,0,0,0
CUST0046,Central,Premium,Month-to-month,Debit Card,15,1174.25,22,1,3,61.48,8.4,4,10,0,2,0
CUST0047,North,Basic,One-year,Debit Card,13,380.59,12,4,1,64.01,6.0,0,0,0,0,0
CUST0048,Central,Enterprise,Month-to-month,Net Banking,30,2021.16,23,1,0,199.7,8.5,35,20,1,2,0
CUST0049,Central,Basic,Two-year,Credit Card,19,461.29,6,2,9,36.21,7.2,120,0,1,1,0
CUST0050,East,Basic,Month-to-month,Debit Card,25,426.24,17,4,1,34.62,7.2,0,0,1,1,0
CUST0051,West,Basic,Month-to-month,Wallet,18,438.7,14,1,1,20.53,8.6,51,15,1,2,0
CUST0052,West,Basic,Month-to-month,Credit Card,11,374.44,7,2,3,82.4,9.8,0,0,0,5,0
CUST0053,East,Premium,Month-to-month,Credit Card,26,948.69,28,3,16,117.22,10,13,0,1,0,0
CUST0054,South,Premium,Two-year,Credit Card,40,1022.14,15,3,5,88.63,4.1,18,10,0,0,0
CUST0055,West,Premium,Month-to-month,Credit Card,22,925.03,19,2,4,147.41,6.5,0,5,0,2,0
CUST0056,West,Premium,Month-to-month,Wallet,23,1095.82,20,1,2,133.88,6.5,77,20,1,0,0
CUST0057,South,Enterprise,Month-to-month,Debit Card,2,1921.54,16,4,4,215.09,5.3,0,15,1,1,1
CUST0058,West,Basic,Month-to-month,Debit Card,34,344.94,16,0,4,41.74,7.1,15,15,1,3,0
CUST0059,West,Premium,Month-to-month,UPI,11,1180.23,12,4,3,174.12,6.7,8,0,1,1,0
CUST0060,East,Standard,Two-year,Credit Card,25,690.89,23,2,1,79.23,10,6,10,0,0,0
CUST0061,East,Basic,Month-to-month,UPI,9,403.83,16,2,7,20.54,7.0,40,15,0,1,0
CUST0062,South,Standard,Month-to-month,Credit Card,20,766.66,15,1,0,80.65,5.3,22,10,1,0,0
CUST0063,East,Premium,Month-to-month,Wallet,46,982.45,16,3,0,195.81,7.3,0,10,1,0,0
CUST0064,Central,Basic,Month-to-month,Wallet,6,446.26,15,2,6,89.27,7.5,7,20,0,1,0
CUST0065,North,Standard,Month-to-month,Credit Card,9,680.02,20,4,2,95.26,6.7,0,5,1,2,0
CUST0066,East,Basic,One-year,Credit Card,11,449.42,21,3,3,42.99,6.0,0,0,1,1,0
CUST0067,North,Basic,Two-year,Wallet,19,405.46,23,3,1,49.91,7.8,73,10,0,1,0
CUST0068,West,Basic,One-year,Net Banking,16,466.48,20,3,5,52.85,5.9,9,0,0,0,0
CUST0069,West,Premium,Two-year,UPI,11,997.74,11,3,0,99.82,7.6,144,0,0,0,0
CUST0070,North,Standard,Month-to-month,Credit Card,10,731.08,24,1,0,120.53,6.9,78,10,0,0,0
CUST0071,West,Standard,One-year,Debit Card,48,651.13,20,0,1,70.59,10,47,15,1,0,0
CUST0072,South,Standard,Two-year,Net Banking,18,747.97,20,2,2,88.36,5.1,60,20,1,0,0
CUST0073,Central,Premium,One-year,Debit Card,16,1128.51,3,5,8,108.24,5.4,79,10,1,3,0
CUST0074,East,Basic,Month-to-month,Debit Card,39,472.34,15,2,6,48.67,6.7,0,5,1,0,0
CUST0075,South,Basic,Month-to-month,Credit Card,25,401.22,19,2,5,11.24,7.6,13,0,0,2,0
CUST0076,West,Standard,Month-to-month,Net Banking,25,733.27,24,0,3,54.34,9.8,2,15,1,4,0
CUST0077,North,Premium,One-year,Net Banking,51,1090.33,12,3,6,119.84,4.6,0,5,0,1,0
CUST0078,Central,Premium,One-year,Wallet,20,947.74,30,1,16,103.25,8.7,9,15,1,0,0
CUST0079,East,Basic,Month-to-month,Net Banking,23,388.02,15,2,5,72.93,7.4,68,20,1,1,0
CUST0080,Central,Basic,Month-to-month,Credit Card,44,422.53,12,0,2,90.02,7.7,17,15,0,1,0
CUST0081,South,Standard,Month-to-month,Net Banking,19,696.87,16,2,7,19.4,5.3,5,10,0,1,0
CUST0082,West,Basic,Month-to-month,Debit Card,72,397.92,14,0,2,45.67,7.3,1,5,1,0,0
CUST0083,Central,Basic,Month-to-month,UPI,11,385.54,20,1,0,60.58,9.5,0,0,1,1,0
CUST0084,North,Standard,One-year,UPI,57,729.02,23,1,0,95.88,7.9,88,0,0,0,0
CUST0085,Central,Basic,Month-to-month,UPI,28,503.5,12,3,0,32.9,7.1,22,0,1,1,0
CUST0086,South,Standard,One-year,UPI,23,709.07,16,0,1,85.29,9.3,71,5,0,2,0
CUST0087,West,Basic,One-year,Net Banking,7,494.84,21,2,3,44.04,9.1,62,20,0,0,0
CUST0088,Central,Premium,Month-to-month,Debit Card,30,1133.38,22,3,2,122.71,8.3,0,0,1,2,0
CUST0089,North,Basic,Month-to-month,Debit Card,9,454.58,8,0,0,38.19,4.5,97,15,1,0,1
CUST0090,East,Standard,Month-to-month,Net Banking,32,582.24,17,0,5,71.27,7.2,102,20,1,1,0
CUST0091,East,Basic,Month-to-month,Wallet,19,417.18,15,2,0,44.07,7.9,10,15,1,1,0
CUST0092,East,Standard,Month-to-month,Wallet,24,736.96,23,2,0,7.59,8.8,2,5,1,2,0
CUST0093,West,Basic,Two-year,Credit Card,15,490.64,18,6,0,22.07,5.5,32,15,1,0,0
CUST0094,West,Basic,Two-year,Credit Card,11,477.1,17,1,15,26.14,8.2,78,0,0,3,0
CUST0095,Central,Basic,One-year,Debit Card,43,340.22,19,2,3,60.88,5.1,55,0,1,0,0
CUST0096,South,Basic,Month-to-month,Wallet,7,384.47,24,2,7,70.25,3.5,0,20,1,0,0
CUST0097,South,Standard,Month-to-month,Debit Card,8,560.98,30,4,0,98.13,6.3,123,10,1,0,0
CUST0098,East,Standard,Month-to-month,Wallet,20,745.39,10,1,6,77.54,4.1,46,10,1,1,0
CUST0099,East,Standard,Month-to-month,Debit Card,12,680.16,14,2,3,93.78,8.6,33,0,0,0,0
CUST0100,South,Basic,Month-to-month,Credit Card,29,405.67,16,1,3,46.01,8.8,121,0,1,1,0
CUST0101,East,Standard,One-year,Wallet,14,774.07,28,0,3,59.3,10,10,0,1,2,0
CUST0102,South,Standard,Month-to-month,Wallet,43,835.17,16,3,4,45.75,4.3,54,5,0,2,0
CUST0103,North,Basic,Two-year,Net Banking,27,373.42,14,0,8,39.91,6.6,14,0,1,0,0
CUST0104,East,Standard,Month-to-month,UPI,23,634.41,15,4,1,97.53,6.9,52,10,0,0,0
CUST0105,South,Standard,One-year,UPI,24,641.89,21,1,0,56.98,9.8,18,0,1,3,0
CUST0106,West,Basic,Month-to-month,Wallet,11,383.85,16,3,5,64.5,6.4,68,15,1,1,0
CUST0107,East,Premium,Month-to-month,Net Banking,11,981.66,11,2,2,142.7,6.6,256,15,1,1,0
CUST0108,South,Standard,One-year,UPI,17,796.83,20,2,2,88.04,7.8,13,20,0,3,0
CUST0109,South,Basic,Month-to-month,UPI,72,384.63,16,1,1,12.2,8.0,26,0,0,1,0
CUST0110,East,Standard,Month-to-month,Debit Card,12,686.91,21,1,0,47.94,7.3,0,20,1,1,0
CUST0111,South,Basic,Month-to-month,Wallet,16,379.32,12,1,2,37.44,4.9,48,10,0,1,0
CUST0112,North,Basic,Month-to-month,Credit Card,8,388.24,22,2,2,37.08,6.6,6,0,0,1,0
CUST0113,West,Premium,One-year,Debit Card,8,1123.18,16,3,2,129.23,5.7,58,0,1,0,0
CUST0114,West,Standard,Month-to-month,Wallet,8,563.65,20,4,1,85.18,6.0,35,10,0,2,1
CUST0115,North,Standard,Month-to-month,Debit Card,15,713.12,21,2,0,63.06,6.6,0,0,0,0,0
CUST0116,East,Premium,One-year,UPI,9,970.86,24,1,0,158.95,9.4,11,15,0,0,0
CUST0117,South,Standard,One-year,Debit Card,39,635.52,12,0,3,67.44,8.4,41,15,1,0,0
CUST0118,East,Enterprise,Month-to-month,Net Banking,48,2065.84,24,1,10,236.81,6.5,26,5,1,0,0
CUST0119,West,Basic,One-year,Debit Card,31,406.07,14,2,6,38.08,6.3,67,15,0,0,0
CUST0120,Central,Basic,Month-to-month,Net Banking,30,434.19,10,3,0,57.57,6.7,78,0,1,0,0
CUST0121,Central,Standard,Month-to-month,Debit Card,44,700.78,30,1,3,106.89,9.0,50,10,1,1,0
CUST0122,West,Basic,Month-to-month,Debit Card,19,398.06,14,2,5,23.74,4.9,14,20,1,1,0
CUST0123,East,Standard,One-year,Credit Card,8,606.2,22,3,8,70.68,4.1,14,15,0,1,0
CUST0124,West,Basic,One-year,UPI,7,459.45,16,2,3,24.11,9.4,40,0,1,2,0
CUST0125,West,Enterprise,Month-to-month,Debit Card,22,1966.57,21,5,1,198.67,4.6,0,10,1,1,0
CUST0126,Central,Standard,Month-to-month,Wallet,11,854.52,17,2,3,86.54,5.1,14,20,1,0,0
CUST0127,East,Basic,One-year,Net Banking,16,435.94,17,1,8,41.31,6.6,84,15,0,0,1
CUST0128,West,Premium,One-year,Wallet,10,1092.19,20,3,3,174.31,7.1,43,0,1,1,0
CUST0129,West,Basic,One-year,Net Banking,21,389.25,17,1,5,39.47,9.3,0,5,1,1,0
CUST0130,North,Basic,Month-to-month,Net Banking,24,344.85,19,0,4,37.97,7.9,151,5,1,0,0
CUST0131,West,Premium,Month-to-month,Credit Card,7,1029.23,15,4,0,144.18,5.4,0,0,0,1,0
CUST0132,North,Basic,Month-to-month,Net Banking,11,401.95,14,2,2,48.81,4.9,150,15,1,2,1
CUST0133,North,Basic,Two-year,Credit Card,56,349.47,16,2,6,26.8,5.8,0,10,1,0,0
CUST0134,East,Standard,Month-to-month,UPI,24,835.28,17,3,0,92.79,7.7,27,20,1,1,0
CUST0135,Central,Basic,One-year,Net Banking,40,423.2,16,2,4,9.04,6.1,125,0,1,1,0
CUST0136,North,Standard,Month-to-month,Credit Card,38,754.06,17,0,8,69.91,6.2,31,10,1,1,0
CUST0137,East,Premium,Month-to-month,Credit Card,25,1130.81,20,3,8,141.31,4.7,0,0,0,1,0
CUST0138,South,Basic,Month-to-month,Credit Card,31,414.6,11,4,2,59.91,5.4,4,15,0,0,0
CUST0139,West,Basic,Month-to-month,Wallet,16,446.53,20,0,1,58.67,7.4,32,15,1,1,0
CUST0140,West,Standard,Month-to-month,Debit Card,7,803.33,21,1,4,79.4,9.1,0,5,1,0,0
CUST0141,South,Standard,Month-to-month,Wallet,17,742.98,23,2,0,46.35,8.0,102,0,1,3,0
CUST0142,East,Standard,One-year,Net Banking,26,753.55,18,3,15,55.64,5.7,0,10,1,2,0
CUST0143,West,Standard,Month-to-month,Credit Card,17,761.96,22,0,13,95.38,6.3,97,15,0,0,0
CUST0144,East,Standard,Month-to-month,Net Banking,28,853.19,9,2,5,72.59,6.9,39,0,1,1,0
CUST0145,West,Premium,Month-to-month,Wallet,21,1076.74,21,3,7,118.32,5.1,0,5,1,3,0
CUST0146,Central,Premium,Month-to-month,Credit Card,32,1453.43,17,5,3,84.23,4.1,14,5,1,0,0
CUST0147,North,Standard,One-year,UPI,19,497.46,19,3,1,93.79,5.9,0,5,1,0,0
CUST0148,East,Standard,Month-to-month,Debit Card,20,525.55,11,1,0,99.0,8.6,41,20,0,1,0
CUST0149,Central,Premium,Two-year,Debit Card,20,1187.54,16,4,19,136.72,4.7,7,15,1,0,0
CUST0150,East,Basic,One-year,Net Banking,36,390.31,8,3,4,67.38,6.1,48,20,1,0,0
CUST0151,West,Standard,Month-to-month,Credit Card,13,513.7,17,1,0,55.32,8.1,55,15,0,2,0
CUST0152,East,Basic,Month-to-month,Net Banking,25,435.34,12,1,3,54.04,4.7,31,20,1,1,0
CUST0153,North,Standard,One-year,Debit Card,25,612.8,23,4,1,112.18,5.9,68,20,0,3,0
CUST0154,South,Premium,One-year,Wallet,35,868.4,28,2,2,149.49,6.1,0,20,0,1,0
CUST0155,North,Premium,Month-to-month,Net Banking,16,1071.41,26,2,17,100.41,9.4,0,0,0,1,0
CUST0156,Central,Enterprise,Month-to-month,Credit Card,31,1700.31,16,0,5,200.95,5.1,126,0,0,0,0
CUST0157,West,Enterprise,One-year,Wallet,21,1745.68,27,4,1,219.24,4.8,24,15,1,1,0
CUST0158,Central,Standard,Month-to-month,Net Banking,20,801.98,15,0,1,64.48,4.9,47,10,1,0,0
CUST0159,South,Standard,Month-to-month,Net Banking,64,621.88,20,2,2,102.49,7.0,33,5,0,0,0
CUST0160,North,Standard,Two-year,Debit Card,26,847.39,20,0,6,70.21,8.6,158,10,0,0,0
CUST0161,South,Enterprise,One-year,UPI,28,1693.03,23,2,5,236.15,7.4,27,20,1,2,0
CUST0162,Central,Basic,Month-to-month,Credit Card,43,382.87,18,0,0,47.24,7.6,103,0,0,1,0
CUST0163,East,Basic,Month-to-month,Credit Card,21,447.05,19,0,2,49.87,9.4,64,0,1,0,0
CUST0164,Central,Basic,Two-year,Credit Card,12,332.94,11,1,24,27.9,7.5,14,5,1,0,0
CUST0165,South,Premium,Month-to-month,Debit Card,34,1167.07,23,5,2,115.15,5.6,3,15,0,0,0
CUST0166,North,Basic,One-year,Wallet,13,384.25,16,1,2,60.22,8.2,0,20,0,0,0
CUST0167,Central,Standard,One-year,Net Banking,7,635.02,23,3,2,64.25,7.6,197,0,1,1,0
CUST0168,East,Premium,Two-year,Wallet,13,1143.18,5,2,4,134.6,7.3,85,10,1,1,0
CUST0169,North,Enterprise,One-year,Net Banking,10,1712.31,21,1,3,165.77,6.6,12,10,1,1,0
CUST0170,North,Premium,Month-to-month,Credit Card,36,984.64,19,2,6,110.56,6.6,122,0,0,0,0
CUST0171,Central,Standard,Month-to-month,Wallet,22,865.22,26,0,0,103.16,9.7,186,5,1,3,0
CUST0172,South,Basic,One-year,Wallet,25,385.37,15,3,0,33.75,4.4,0,10,1,1,0
CUST0173,North,Basic,Month-to-month,Net Banking,27,413.39,14,2,3,97.6,5.6,47,5,1,1,0
CUST0174,North,Standard,Month-to-month,Net Banking,10,836.79,19,1,0,76.29,7.6,12,0,1,1,0
CUST0175,Central,Basic,One-year,Credit Card,7,344.71,14,2,3,20.14,6.7,172,0,1,1,0
CUST0176,West,Basic,Month-to-month,Debit Card,40,364.36,18,0,0,45.49,8.8,7,20,0,1,0
CUST0177,South,Basic,Month-to-month,Wallet,38,363.46,9,0,1,8.31,7.6,103,0,1,0,0
CUST0178,North,Basic,One-year,Debit Card,25,410.68,4,1,1,21.59,6.6,70,5,1,0,0
CUST0179,Central,Premium,Two-year,Wallet,23,1129.42,19,1,0,113.75,9.3,42,20,1,0,0
CUST0180,North,Enterprise,One-year,Debit Card,30,1931.45,16,3,8,231.21,5.7,0,0,0,0,0
CUST0181,South,Enterprise,Month-to-month,Credit Card,13,2125.02,22,3,1,224.61,6.5,28,15,1,0,1
CUST0182,Central,Premium,Two-year,UPI,8,1063.83,23,2,12,139.28,6.8,6,0,0,0,0
CUST0183,Central,Basic,Month-to-month,Debit Card,14,406.52,18,1,2,45.48,6.0,51,15,0,1,0
CUST0184,East,Basic,One-year,UPI,49,416.03,19,0,4,39.81,6.8,103,10,1,1,0
CUST0185,North,Standard,Month-to-month,Wallet,17,693.45,15,1,10,88.47,6.0,22,5,1,3,0
CUST0186,North,Standard,Month-to-month,Debit Card,43,649.32,9,1,0,102.31,4.9,0,0,0,0,0
CUST0187,South,Basic,Month-to-month,Credit Card,25,389.93,16,2,5,59.61,5.4,113,5,0,2,0
CUST0188,West,Standard,Month-to-month,Credit Card,21,825.76,21,1,7,46.86,3.7,86,15,1,1,0
CUST0189,West,Premium,One-year,UPI,40,1196.67,12,1,0,137.99,8.1,0,20,0,1,0
CUST0190,West,Enterprise,Two-year,Wallet,11,1477.62,28,3,4,230.51,6.2,10,15,0,4,0
CUST0191,South,Basic,Month-to-month,Debit Card,55,445.87,25,0,6,54.58,8.8,2,15,1,1,0
CUST0192,South,Standard,Month-to-month,UPI,40,615.28,19,1,10,56.1,7.8,63,10,1,0,0
CUST0193,South,Standard,Month-to-month,Debit Card,26,740.75,16,1,1,96.91,7.9,66,5,1,2,0
CUST0194,East,Standard,Month-to-month,Credit Card,11,666.53,15,0,7,116.11,7.4,14,5,1,2,0
CUST0195,East,Premium,Month-to-month,Credit Card,57,1104.27,23,2,8,116.85,6.3,8,0,0,2,0
CUST0196,West,Premium,Month-to-month,Net Banking,33,918.86,21,1,1,114.01,5.4,67,15,1,0,0
CUST0197,East,Enterprise,One-year,Wallet,16,1350.9,19,5,2,205.92,5.0,0,20,0,0,0
CUST0198,Central,Standard,One-year,Debit Card,27,694.92,12,1,2,81.94,8.3,25,0,0,1,0
CUST0199,East,Standard,Month-to-month,Debit Card,13,643.41,14,3,0,54.9,6.2,0,0,1,1,0
CUST0200,West,Basic,One-year,Net Banking,9,438.73,21,2,3,70.34,6.7,38,15,1,1,0
CUST0201,South,Premium,Month-to-month,Wallet,19,1093.27,19,3,4,89.41,6.4,0,5,1,2,0
CUST0202,North,Enterprise,Month-to-month,Debit Card,17,1371.45,22,4,0,207.83,6.8,0,15,1,0,0
CUST0203,Central,Premium,Two-year,Wallet,14,984.2,20,3,12,112.11,6.7,80,15,0,2,0
CUST0204,Central,Basic,Month-to-month,Debit Card,47,431.62,12,2,3,45.95,5.5,114,0,1,2,0
CUST0205,East,Basic,Month-to-month,Net Banking,9,432.18,7,2,6,0.5,5.5,0,5,1,0,0
CUST0206,North,Premium,Two-year,Debit Card,14,1099.54,18,2,0,166.09,8.1,82,15,1,1,0
CUST0207,South,Basic,One-year,Net Banking,11,345.51,30,1,7,76.12,6.8,129,15,1,1,0
CUST0208,South,Standard,One-year,Debit Card,24,512.85,24,1,7,26.49,8.8,102,20,1,2,0
CUST0209,West,Enterprise,Two-year,UPI,29,1510.13,16,1,0,228.6,8.7,34,15,0,0,0
CUST0210,South,Basic,Month-to-month,Net Banking,14,338.74,16,2,1,6.82,5.8,166,0,1,1,0
CUST0211,Central,Basic,One-year,Wallet,7,308.99,21,1,2,71.38,8.0,36,20,1,0,0
CUST0212,Central,Basic,One-year,Credit Card,12,411.23,18,1,9,24.85,7.1,24,10,0,0,0
CUST0213,West,Standard,One-year,Credit Card,72,605.73,13,0,5,100.96,9.2,94,0,0,2,0
CUST0214,West,Basic,Month-to-month,Debit Card,19,467.48,11,3,0,43.41,5.8,27,0,1,1,0
CUST0215,East,Premium,Month-to-month,Credit Card,15,1126.86,19,3,1,163.65,5.7,10,20,1,0,0
CUST0216,Central,Standard,Month-to-month,Net Banking,37,805.94,17,0,6,132.75,8.0,3,15,0,4,0
CUST0217,North,Basic,One-year,Debit Card,10,401.74,23,1,8,62.45,7.9,73,20,1,1,0
CUST0218,North,Enterprise,One-year,Wallet,25,1890.91,21,2,1,179.57,6.0,20,5,0,1,0
CUST0219,North,Standard,Month-to-month,Net Banking,12,826.44,24,2,11,94.92,4.9,7,0,1,0,0
CUST0220,Central,Enterprise,Month-to-month,Net Banking,11,1841.96,26,4,4,179.19,4.9,0,5,0,0,0
CUST0221,East,Standard,Month-to-month,UPI,28,567.74,12,6,1,109.12,3.9,0,0,0,1,0
CUST0222,West,Premium,One-year,Credit Card,34,1179.77,20,1,1,117.41,8.0,15,10,1,1,0
CUST0223,Central,Basic,Month-to-month,Credit Card,46,429.15,17,3,3,72.27,8.9,12,20,1,1,0
CUST0224,North,Premium,Month-to-month,UPI,28,822.05,26,2,2,143.73,9.0,15,0,0,1,0
CUST0225,Central,Standard,Month-to-month,Net Banking,61,699.31,12,0,4,101.69,5.8,67,15,0,0,0
CUST0226,North,Basic,Month-to-month,Net Banking,38,421.68,23,4,2,66.35,6.6,0,15,0,2,0
CUST0227,East,Basic,One-year,Wallet,17,391.78,11,4,7,41.27,5.2,53,0,1,0,0
CUST0228,West,Premium,Month-to-month,UPI,27,1108.86,18,4,1,125.09,5.8,0,10,0,0,0
CUST0229,North,Standard,One-year,Debit Card,19,678.74,10,2,1,68.43,6.0,14,5,0,1,0
CUST0230,South,Basic,One-year,Debit Card,31,372.31,20,0,0,35.49,5.3,45,0,0,1,0
CUST0231,West,Standard,One-year,Net Banking,25,924.89,11,1,2,99.53,8.3,0,20,0,1,0
CUST0232,East,Premium,Two-year,UPI,31,1315.44,23,5,0,139.22,8.3,12,0,0,2,0
CUST0233,West,Basic,Two-year,Wallet,19,449.49,23,0,0,38.15,10,36,15,1,1,0
CUST0234,East,Standard,Month-to-month,UPI,4,771.45,20,1,0,52.57,8.2,13,5,0,3,0
CUST0235,East,Premium,One-year,Net Banking,43,1031.32,21,3,0,108.88,7.3,0,0,1,0,0
CUST0236,West,Enterprise,Month-to-month,UPI,30,1949.56,21,1,2,180.4,6.2,9,0,1,1,0
CUST0237,North,Basic,Month-to-month,UPI,51,389.15,2,3,7,32.51,4.6,24,5,1,2,0
CUST0238,East,Standard,Month-to-month,Net Banking,15,699.15,8,1,0,123.12,4.8,0,10,0,1,0
CUST0239,North,Standard,Two-year,Debit Card,7,761.96,25,2,5,67.82,8.2,35,0,1,2,0
CUST0240,North,Standard,One-year,Credit Card,50,710.56,18,3,3,78.4,4.8,88,0,1,3,0
CUST0241,East,Standard,Month-to-month,Credit Card,36,822.53,13,0,2,48.02,6.4,98,5,0,1,0
CUST0242,East,Standard,One-year,Debit Card,32,683.02,13,3,2,87.46,7.9,62,10,1,2,0
CUST0243,South,Standard,Month-to-month,Debit Card,12,845.57,17,2,0,94.85,5.8,87,0,0,0,0
CUST0244,East,Standard,Two-year,UPI,26,842.66,9,2,0,78.28,7.8,13,5,1,1,0
CUST0245,South,Standard,One-year,Net Banking,59,766.93,10,0,7,56.0,7.0,47,0,0,0,0
CUST0246,East,Basic,One-year,UPI,50,427.83,18,0,0,97.02,5.5,153,20,0,2,0
CUST0247,South,Standard,Two-year,Credit Card,22,736.8,16,1,1,127.19,4.7,90,5,1,1,0
CUST0248,North,Basic,Month-to-month,Net Banking,9,332.11,10,0,2,29.08,9.1,13,5,1,3,0
CUST0249,North,Premium,One-year,Wallet,5,1047.76,22,0,2,178.93,6.4,58,0,0,2,0
CUST0250,Central,Premium,Month-to-month,Net Banking,21,1005.82,24,1,1,133.92,4.7,93,0,0,2,0
CUST0251,East,Basic,Month-to-month,Wallet,17,385.17,24,1,2,23.58,7.1,91,0,1,0,0
CUST0252,West,Standard,Month-to-month,Credit Card,10,674.49,11,3,8,88.04,7.8,13,15,1,1,1
CUST0253,South,Basic,Month-to-month,Credit Card,14,486.05,14,4,9,51.85,6.5,16,5,1,1,0
CUST0254,North,Enterprise,Month-to-month,Debit Card,6,1853.89,29,6,18,192.7,5.1,29,5,0,1,0
CUST0255,Central,Basic,One-year,Wallet,9,426.41,4,1,2,76.53,7.2,0,0,1,0,0
